번호,대화A,대화B,,,,,,,,,,,,,,,
2989,"가: 어, 벽시계가 죽었네?","나: 응, 건전지를 갈아 끼워야 해.",,,,,,,,,,,,,,,
2990,가: 이번에 너희가 윷을 던져서 우리하고 같은 것이 나오면 우리 말이 죽는 거지?,"나: 응, 그리고 우리가 너희 말을 잡으면 또 한 번 윷을 던질 수 있어.",,,,,,,,,,,,,,,
2991,가: 그 사람이 했던 말들이 이제 모두 죽은 말이 되었네.,"나: 맞아, 더 이상 아무도 그의 말을 듣지 않으니까 말이야.",,,,,,,,,,,,,,,
2992,가: 너 죽을래? 왜 일을 이따위로 해?,나: 죄송합니다. 다시 하도록 하겠습니다.,,,,,,,,,,,,,,,
2993,가: 너는 부모님이 죽자고 반대하는 결혼을 꼭 해야겠니?,나: 부모님이 아무리 반대하셔도 나는 꼭 결혼식을 올릴 거야.,,,,,,,,,,,,,,,
2994,"가: 휴, 할 일이 많은데 이렇게 놀아도 될지 모르겠네.","나: 일단 걱정은 내일로 미루고, 오늘은 마음껏 즐기자.",,,,,,,,,,,,,,,
2995,가: 저는 매주 가족들과 산에 오르는 걸 즐깁니다.,나: 저도 등산을 좋아하니 다음에 한번 함께 가시죠.,,,,,,,,,,,,,,,
2996,가: 괜찮으시다면 당분간 저희 집에서 지내시지요.,"나: 고맙습니다만, 머물 곳이 따로 있습니다.",,,,,,,,,,,,,,,
2997,가: 너 유민이랑 언제 결혼하니?,나: 네? 유민이랑은 그냥 친하게 지내는 친구 사이인 걸요.,,,,,,,,,,,,,,,
2998,가: 이번 휴가 때는 어디로 갑니까?,나: 조용한 산 속에서 휴가를 지낼 생각입니다.,,,,,,,,,,,,,,,
2999,가: 달에 가장 먼저 발자국을 찍은 사람은 누굴까?,나: 미국의 우주인 아니었어?,,,,,,,,,,,,,,,
3000,가: 너는 왜 만년필을 싫어하니?,나: 쓸 때마다 잉크를 찍어 써야 되는 게 불편하잖아.,,,,,,,,,,,,,,,
3001,가: 왜 이렇게 오래 걸려?,나: 그래도 어른들 뵙는 자리니까 뭐라도 얼굴에 찍고 나가야 될 것 같아서요.,,,,,,,,,,,,,,,
3002,가: 눈이 온다.,"나: 응, 꼭 까만 아스팔트 위에 하얀 점을 찍는 것 같아.",,,,,,,,,,,,,,,
3003,가: 이 옷은 너무 비싸네요.,나: 공장에서 기계로 찍어 낸 것이 아니라 손으로 직접 만든 것이라 그렇지요.,,,,,,,,,,,,,,,
3004,가: 요새는 책의 종류가 정말 다양한 것 같아.,나: 많은 출판사와 작가들이 각자 다른 목적을 가지고 책을 찍어 내고 있잖아.,,,,,,,,,,,,,,,
3005,가: 뭘 그렇게 노트북을 타닥타닥 찍고 있어?,"나: 아, 보고서를 쓰는 중이야.",,,,,,,,,,,,,,,
3006,가: 이 사진 언제 찍은 거야?,나: 그거 나 고등학교 때야. 어려 보이지?,,,,,,,,,,,,,,,
3007,가: 야호! 찍었는데 맞았다!,나: 진짜? 몰랐던 문제였는데 맞았단 말야?,,,,,,,,,,,,,,,
3008,가: 이번 선거 때 대통령으로 누구를 찍었어요?,나: 묻지 마세요. 내가 찍은 사람이 떨어졌어요.,,,,,,,,,,,,,,,
3009,가: 옆집 할머니가 자꾸 자기 딸이 참한데 한번 만나 보래.,나: 그 할머니께서 너를 사윗감으로 찍어 두셨나 보다.,,,,,,,,,,,,,,,
3010,가: 우리 배드민턴 치러 갈까?,나: 그래. 체육관에 가서 치자.,,,,,,,,,,,,,,,
3011,가: 저와 한 곡 추시겠습니까?,나: 아니요. 저는 파트너가 따로 있습니다.,,,,,,,,,,,,,,,
3012,가: 승규는 무슨 운동을 좋아하니?,나: 운동은 다 좋지만 그중에서도 축구를 제일 좋아해요.,,,,,,,,,,,,,,,
3013,"가: 민준아, 이마가 왜 그래? 다쳤어?",나: 어제 축구하다가 축구공에 맞았어.,,,,,,,,,,,,,,,
3014,가: 치과 공부는 적성에 맞니?,나: 힘들지만 나중에 의사가 될 날을 꿈꾸며 열심히 하고 있어요.,,,,,,,,,,,,,,,
3015,"가: 민준아, 어디 가?","나: 어, 너구나. 나는 또 누가 내 어깨를 치나 했지.",,,,,,,,,,,,,,,
3016,가: 발표를 마치겠습니다.,나: 열심히 발표를 해 주신 선생님께 박수를 치도록 합시다.,,,,,,,,,,,,,,,
3017,가: 밴드를 하나 만들려고 하는데 드럼 칠 사람이 없어.,나: 드럼이라면 내가 칠 줄 알아.,,,,,,,,,,,,,,,
3018,가: 좋아하는 운동 있으세요?,나: 잘 치지는 못하는데 배드민턴을 좋아해요.,,,,,,,,,,,,,,,
3019,가: 달력 좀 걸게 벽에 못 좀 쳐 줄래?,나: 그래. 망치랑 못 이리 줘.,,,,,,,,,,,,,,,
3020,가: 영어 타자 좀 쳐 줄래? 영어 자판이 익숙하지 않아서.,나: 좋아. 그 대신 한글 타자는 네가 좀 쳐 줘.,,,,,,,,,,,,,,,
3021,가: 제1 부대는 연락할 때까지 대기하라고 무전을 치게.,"나: 예, 알겠습니다.",,,,,,,,,,,,,,,
3022,가: 트럼프 칠 줄 알아요?,"나: 그럼요, 지는 사람이 밥 사기로 해요.",,,,,,,,,,,,,,,
3023,가: 칼을 좀 쳐 주시오.,나: 크기는 어느 정도면 될까요?,,,,,,,,,,,,,,,
3024,가: 떡을 제대로 안 치면 씹는 맛이 안 좋아요.,나: 알겠습니다. 있는 힘껏 치겠습니다.,,,,,,,,,,,,,,,
3025,가: 1시인데 왜 시계가 안 치지?,나: 아무래도 고장이 난 모양이야.,,,,,,,,,,,,,,,
3026,가: 저 새는 날 수 있어요?,나: 아직 새끼라서 날개는 치는데 날지는 못해.,,,,,,,,,,,,,,,
3027,가: 난 수영도 못하는데 바다에 가서 뭘 하니?,나: 얕은 데서 물장구를 치면서 놀면 되잖아.,,,,,,,,,,,,,,,
3028,가: 병원에 안 가고 왜 애가 울고 있어?,나: 아이가 가기 싫다고 발버둥을 치니까 그렇지.,,,,,,,,,,,,,,,
3029,가: 머리를 어떻게 해 드릴까요?,나: 좀 짧게 쳐 주세요.,,,,,,,,,,,,,,,
3030,가: 내가 뭐 도와 줄 거 있어요?,나: 그럼 당신이 밤을 좀 쳐 주세요.,,,,,,,,,,,,,,,
3031,가: 언제 공격하는 게 좋겠습니까?,나: 아무래도 적이 잠든 한밤중에 치는 게 좋을 것 같습니다.,,,,,,,,,,,,,,,
3032,"가: 당신, 또 유민이한테 용돈 줬다면서요?",나: 살살 눈웃음을 치면서 달라는데 안 줄 수가 있어야지.,,,,,,,,,,,,,,,
3033,가: 할아버지 아버지한테 화 나셨어?,나: 호통을 치시는 걸 보니 그런 거 같아.,,,,,,,,,,,,,,,
3034,가: 회가 참 맛있어 보이네요.,나: 그러게요. 어쩌면 회를 이렇게 얇게 칠 수 있을까요?,,,,,,,,,,,,,,,
3035,가: 민준 엄마는 뭐가 그렇게 바쁘다고 저렇게 종종걸음을 칠까?,나: 고향에서 부모님이 오셨대요.,,,,,,,,,,,,,,,
3036,가: 김 씨가 또 경찰서에 들어갔다면서요?,"나: 네, 가짜 집 계약서로 사기를 쳤다나 봐요.",,,,,,,,,,,,,,,
3037,가: 오늘도 물건을 하나도 못 팔았네요.,나: 하루 공을 쳤는데 일찍 문 닫고 들어갑시다.,,,,,,,,,,,,,,,
3038,가: 방학이 언제부터지?,나: 기말고사 치면 그다음이 바로 방학이지 뭐.,,,,,,,,,,,,,,,
3039,가: 점을 치고 오셨다면서요?,나: 그래. 올해는 우리 민준이 시험 운이 없다고 하더라.,,,,,,,,,,,,,,,
3040,가: 요즘 잠이 잘 안 와.,나: 불면증 치료에 효과적인 방법이 있는데 가르쳐 줄게.,,,,,,,,,,,,,,,
3041,가: 명절 때마다 네가 친척 동생들을 다 돌본다고?,나: 응. 사촌들 중에는 내가 제일 맏이거든.,,,,,,,,,,,,,,,
3042,가: 출입 카드를 모르고 안 가지고 왔는데 어떻게 할까요?,나: 저쪽 사무실에 가서 신분증을 보여 주시고 임시 출입 카드를 받으셔야 해요.,,,,,,,,,,,,,,,
3043,가: 이 꽃은 누가 보낸 거지?,나: 그 꽃다발 안에 카드가 있는 것 같은데 한 번 뭐라고 쓰여 있나 봐 봐.,,,,,,,,,,,,,,,
3044,가: 이 책을 빌리고 싶은데요.,"나: 그럼 여기 대출 카드에 날짜랑 본인 이름, 연락처를 적어 주세요.",,,,,,,,,,,,,,,
3045,가: 이 카드 중에서 마음에 드는 거 한 장을 뽑아 봐.,나: 마술이라도 보여 주는 거야?,,,,,,,,,,,,,,,
3046,가: 오빠가 무슨 수로 이 일을 해결해?,"나: 하하, 나에게는 비장의 카드가 있지.",,,,,,,,,,,,,,,
3047,가: 이번 달 카드 대금이 너무 많이 나왔어.,나: 이제부터는 예산을 짜서 계획적으로 지출하는 습관을 들이도록 해 봐.,,,,,,,,,,,,,,,
3048,가: 컴퓨터 메모리 카드를 바꾸려고 하는데요.,"나: 네, 좀 더 용량이 큰 것으로 바꾸시게요?",,,,,,,,,,,,,,,
3049,가: 이 많은 나무를 혼자 다 켰어?,나: 이 정도쯤이야 식은 죽 먹기지.,,,,,,,,,,,,,,,
3050,가: 지수가 첼로를 참 잘 켜던데 언제부터 배웠어요?,나: 다섯 살때부터 배웠어요.,,,,,,,,,,,,,,,
3051,가: 이번 명절에는 명주로 옷을 지어 줄게.,나: 정말요? 그럼 고치 켜는 거 저도 도울게요.,,,,,,,,,,,,,,,
3052,가: 저기 사고가 크게 났네요.,나: 차에 탄 사람들이 많이 안 다쳤으면 좋겠네요.,,,,,,,,,,,,,,,
3053,가: 여기서 가장 가까운 마을로 가려면 어느 쪽으로 가야 하죠?,나: 이 도로를 타고 이 십분 정도 가시면 됩니다.,,,,,,,,,,,,,,,
3054,가: 등산 코스는 정했어? 평소에 다니던 길로 갈까?,"나: 아니, 오늘은 이쪽 능선을 타고 산 정상까지 가 보자.",,,,,,,,,,,,,,,
3055,가: 어제 체육 대회에서 난생 처음 목말을 타 봤어.,나: 무섭지 않았니?,,,,,,,,,,,,,,,
3056,"가: 지수한테 얘기해야 하는데, 미안해서 말을 못 하겠어.",나: 내가 기회를 타서 얘기해 볼게.,,,,,,,,,,,,,,,
3057,가: 승규는 어쩌다가 방송을 타게 된 거래?,나: 승규가 위험에 처한 행인을 도와주는 모습이 뉴스에 나왔나 봐.,,,,,,,,,,,,,,,
3058,가: 내일 인라인스케이트 타러 공원에 갈래?,나: 난 인라인스케이트 탈 줄 모르는데.,,,,,,,,,,,,,,,
3059,가: 이번에는 뭘 타러 갈까?,나: 놀이공원에 왔으면 뭐니 뭐니 해도 롤러코스터를 타야지!,,,,,,,,,,,,,,,
3060,가: 네가 탁구를 즐겨 하는 이유가 뭐야?,나: 라켓과 공이 가벼워서 들고 다니기도 간편하고 실내 운동이어서 날씨에 제약을 받지도 않잖아.,,,,,,,,,,,,,,,
3061,"가: 엄마, 저 학교 대표로 태권도 시합에 나가게 됐어요.",나: 잘됐구나. 연습을 열심히 해야겠다.,,,,,,,,,,,,,,,
3062,가: 따님과 해외여행을 가시니 좋으시겠어요?,나: 딸 덕분에 태어나서 처음으로 비행기를 타니 좋네요.,,,,,,,,,,,,,,,
3063,가: 유민 씨는 제일 잘하는 운동이 뭐예요?,"나: 대학생 때부터 테니스를 쳤는데, 학교 대회에서 우승도 했었어요.",,,,,,,,,,,,,,,
3064,가: 혹시 체육 선생님 못 뵀니? 드릴 말씀이 있는데 교무실에 안 계시네.,나: 아까 테니스 선수들이랑 같이 테니스장에 계시는 걸 봤어.,,,,,,,,,,,,,,,
3065,"가: 의사 선생님, 제가 언제까지 병원에 있어야 하나요?",나: 회복이 빠르셔서 다음 주에는 퇴원이 가능할 것 같습니다.,,,,,,,,,,,,,,,
3066,가: 전원 생활은 할 만 하나?,나: 네. 무엇보다 주변에 아름다운 풍경이 펼쳐져 있으니 좋습니다.,,,,,,,,,,,,,,,
3067,가: 방 안 풍경이 왜 이래?,나: 애들이 어질러 놓아서 그렇지 뭐.,,,,,,,,,,,,,,,
3068,가: 오늘 피아노 연주 너무 멋있지 않았어?,나: 응. 피아니스트의 손이 보이지 않을 정도였어.,,,,,,,,,,,,,,,
3069,가: 박 선생님은 요즘도 바쁘세요?,나: 아니요. 학교가 방학이어서 한가해요.,,,,,,,,,,,,,,,
3070,가: 할머니가 이가 빠져서 음식을 잘 못 드시는 것 같아.,나: 틀니를 하나 해 드려야겠네.,,,,,,,,,,,,,,,
3071,"가: 승규야, 왜 이렇게 늦었어?",나: 할머니 한 분이 무거운 짐을 들고 가셔서 도와 드리고 오느라 늦었어요.,,,,,,,,,,,,,,,
3072,가: 할아버지랑 할머니는 두 분 다 살아 계시니?,나: 아니. 할머니는 몇 년 전에 돌아가시고 할아버지만 지금 우리와 함께 사셔.,,,,,,,,,,,,,,,
3073,"가: 엄마, 엄마의 작은아버지는 뭐라고 불러야 하나요?","나: 음, 작은할아버지라고 부르거나 그냥 할아버지라고 부르렴.",,,,,,,,,,,,,,,
3074,"가: 승규야, 그 과자는 어디서 난 거니?",나: 가겟집 할아버지께서 주신 거예요.,,,,,,,,,,,,,,,
3075,"가: 지수야, 너 다음 주에 해외여행 간다면서? 좋겠다.",나: 해외여행은 무슨. 여행이면 나도 좋겠지만 회사 일로 출장 가는 거야.,,,,,,,,,,,,,,,
3076,가: 너는 요즘 어디서 운동해?,나: 우리 아파트에 무료로 사용할 수 있는 헬스클럽이 있어.,,,,,,,,,,,,,,,
3077,"가: 승규야, 네가 형이니까 동생한테 양보하렴.",나: 형이라서 늘 양보하라는 법이 어디 있어요?,,,,,,,,,,,,,,,
3078,가: 진짜 멋있는 형 하나 있는데 소개 시켜 줄까?,나: 됐어. 네가 아는 형이라면 안 봐도 뻔하다.,,,,,,,,,,,,,,,
3079,"가: 아주머니, 자녀는 몇이나 두셨어요?",나: 아들만 삼 형제를 두었다우.,,,,,,,,,,,,,,,
3080,가: 어려움을 겪고 보니 가족의 소중함을 알겠어.,나: 그럼. 친구가 아무리 좋다고 해도 부모 형제만 못하지.,,,,,,,,,,,,,,,
3081,가: 선생님. 남편이 가슴이 답답하다고 하는데 왜 그럴까요?,나: 글쎄요. 환자를 직접 보지 않고는 정확한 진단을 내릴 수 없어요.,,,,,,,,,,,,,,,
3082,"가: 팀장님, 내일 이사를 해야 하는데 하루 휴가를 내도 될까요?",나: 그러도록 하게.,,,,,,,,,,,,,,,
3083,가: 우리 다음주 월요일에 소풍 갈까? 휴일이잖아.,나: 나는 집에서 늦잠이나 실컷 잘래. 너무 피곤해.,,,,,,,,,,,,,,,
3084,가: 낮에는 일하고 밤에는 아이를 보느라 쉴 틈이 없어요.,나: 가장 노릇하기가 쉬운 게 아니야.,,,,,,,,,,,,,,,
3085,가: 수술하고 금세 회복을 하셔서 다행입니다.,나: 이 모든 게 여러 사람들의 정성 어린 간호 덕분입니다.,,,,,,,,,,,,,,,
3086,가: 결혼 준비는 잘하고 있나요?,"나: 네, 결혼식장도 예약했고 예물도 모두 준비했어요.",,,,,,,,,,,,,,,
3087,가: 날씨가 추운데 실내 경기장에서 배드민턴을 치는 게 어때요?,나: 좋아요. 안으로 들어가요.,,,,,,,,,,,,,,,
3088,가: 요즘 고민이 너무 많아서 심리적으로 매우 불안한 상태예요.,나: 그럴 때는 명상을 통해 마음속의 고요를 찾아보는 것도 괜찮을 것 같아.,,,,,,,,,,,,,,,
3089,가: 이 곡은 뭐야? 참 듣기 좋다.,"나: 응, 연인을 위한 곡이라고 해서 같이 듣고 싶었어.",,,,,,,,,,,,,,,
3090,가: 요즘 가수 활동을 안 하시는데 근황이 어떻게 되십니까?,나: 가수 활동을 쉬면서 곡을 쓰고 새 앨범을 준비하고 있어요.,,,,,,,,,,,,,,,
3091,가: 요즘에는 음악을 한 곡씩 사서 들을 수 있어서 편해.,나: 맞아. 앨범을 사는 게 아니라 음원을 사니까 원하는 것만 골라 살 수 있지.,,,,,,,,,,,,,,,
3092,가: 어제 경기 봤지? 역시 세계적인 선수는 다르더라.,"나: 그래, 혼자 수비수를 제치고 골로 향하는 모습이 대단했어.",,,,,,,,,,,,,,,
3093,가: 오늘은 졌지만 내일은 더 열심히 해서 이겨 보자.,"나: 네, 저는 골을 내주지 않도록 수비를 열심히 할게요.",,,,,,,,,,,,,,,
3094,가: 골프를 잘 하려면 어떻게 해야 할까요?,"나: 먼저 자세 연습을 열심히 하고, 하체 근육을 강화해야 합니다.",,,,,,,,,,,,,,,
3095,가: 이 물건은 꽤 무거워서 옮기기 힘들 거야.,"나: 이까짓 것, 기운 좀 써서 들어 보지 뭐.",,,,,,,,,,,,,,,
3096,가: 보일러를 틀어 놨더니 방 안이 좀 따뜻하지요?,나: 네. 이제 따뜻한 기운이 느껴지네요.,,,,,,,,,,,,,,,
3097,가: 유민이는 오늘 유치원에 안 가요?,나: 네. 아직 감기 기운이 남아 있어서 하루 쉬게 하려고요.,,,,,,,,,,,,,,,
3098,"가: 김 대리, 왜 근무 시간에 졸아요?",나: 죄송합니다. 감기약을 하나 먹었더니 약 기운이 도는지 자꾸 졸음이 오네요.,,,,,,,,,,,,,,,
3099,가: 어젯밤에 나한테 전화해서 화내지 않았어?,나: 아니야. 그런 일 없었는데. 꿈꾼 거 아니야?,,,,,,,,,,,,,,,
3100,"가: 유민아, 올해에도 네가 꿈꾸고 원하는 일이 다 이루어지길 바라.","나: 고마워. 언니도 새해 행복하고, 좋은 일만 있길 바라.",,,,,,,,,,,,,,,
3101,가: 이 사람이 바로 우리 오빠예요.,나: 정말 보기 좋은 남매네요.,,,,,,,,,,,,,,,
3102,가: 형제가 어떻게 되세요?,나: 저희 형제는 언니 둘에 남동생 하나로 모두 사 남매랍니다.,,,,,,,,,,,,,,,
3103,"가: 엄마, 저 여름 방학이 끝나기 전에 놀이공원에 가고 싶어요.",나: 그래. 개학 전에 아빠랑 같이 가서 놀이 기구도 타고 즐거운 시간을 보내고 오자.,,,,,,,,,,,,,,,
3104,"가: 엄마, 지수는 어디 갔어요?",나: 그네를 타러 간다고 했으니 아마 집 앞 놀이터에 있을 거야.,,,,,,,,,,,,,,,
3105,가: 형제가 어떻게 돼요?,나: 제 위로 누님이 한 분 있어요.,,,,,,,,,,,,,,,
3106,가: 예전에 은혜를 많이 입은 누님을 길에서 우연히 뵈었어.,나: 정말 반가웠겠구나!,,,,,,,,,,,,,,,
3107,가: 눈에 웬 안대를 끼고 있어?,"나: 응, 심한 눈병에 걸렸거든.",,,,,,,,,,,,,,,
3108,"가: 엄마, 이 냄비를 식탁으로 가지고 갈까요?","나: 응, 그런데 냄비가 뜨거우니 장갑을 끼지 않으면 손을 델 수 있으니 조심하렴.",,,,,,,,,,,,,,,
3109,가: 너희 둘 사이가 예전만큼 좋아 보이지는 않는다.,나: 내가 민준이의 짜증에 데어서 아직 화가 덜 풀렸거든.,,,,,,,,,,,,,,,
3110,가: 열이 나고 기침과 가래가 심해요.,나: 독감이 든 것 같군요.,,,,,,,,,,,,,,,
3111,"가: 선생님, 두통약을 먹었는데 머리가 더 아파요. 뭐가 문제일까요?",나: 잘 맞지 않는 약일 수도 있으니 한번 살펴봅시다.,,,,,,,,,,,,,,,
3112,가: 민준 씨는 오늘 결근인가?,나: 심한 감기에 들려서 꼼짝도 못한대요.,,,,,,,,,,,,,,,
3113,가: 얘가 걸신이 들렸나.,나: 몰라. 먹어도 먹어도 배가 고파.,,,,,,,,,,,,,,,
3114,가: 따님이 매우 예쁘시네요.,나: 예쁘게 봐 주셔서 감사합니다.,,,,,,,,,,,,,,,
3115,가: 너도 이번 주말에 열리는 일반인 마라톤 대회에 참가하니?,나: 응. 그래서 지금 열심히 달리기 연습을 하는 중이야.,,,,,,,,,,,,,,,
3116,가: 부모님께서 나이 사십에 막내를 낳으셨거든. 그래서 끔찍하게 막내를 아끼셔.,나: 너랑 너희 언니는 부모님이 막내만 예뻐하는 게 싫지 않니?,,,,,,,,,,,,,,,
3117,"가: 제 나이는 스물 한 살이고, 아마 여기서 제가 막내가 아닐까 싶습니다.",나: 우리 중에서 나이가 제일 어리니 막내 맞네.,,,,,,,,,,,,,,,
3118,가: 옆집 아저씨의 직업이 뭐니?,나: 나도 잘 몰라. 특별히 직업이 없는 것 같은데 어떻게 먹고사는 것인지 궁금해.,,,,,,,,,,,,,,,
3119,가: 민준이 녀석 눈에 시퍼렇게 멍이 들게 한 녀석이 대체 누구야?,나: 글쎄 누구한테 맞았는지 말하려 들지를 않아요.,,,,,,,,,,,,,,,
3120,가: 유민이도 아직 어린데 유민이네 부모가 이혼을 하다니 안타깝네요.,나: 그러게. 어린애 마음에 지울 수 없는 멍이 생기는 건 아닌지 걱정이야.,,,,,,,,,,,,,,,
3121,가: 올가을에 며느리를 보신다면서요?,나: 네. 다음 달에 결혼식을 하기로 했어요.,,,,,,,,,,,,,,,
3122,가: 아들이 지수 씨랑 많이 닮았네요!,나: 네. 우리 모자는 닮았다는 말을 자주 들어요.,,,,,,,,,,,,,,,
3123,가: 너 안색이 왜 그래?,나: 몸살 기운이 좀 있는지 식욕도 없고 그러네.,,,,,,,,,,,,,,,
3124,"가: 아버님, 바둑 한 수 가르쳐 주세요.",나: 그래. 바둑판을 가지고 와 봐라.,,,,,,,,,,,,,,,
3125,가: 팔에 왜 반창고를 붙였니?,나: 돌부리에 걸려 넘어지면서 팔에 상처가 났어요.,,,,,,,,,,,,,,,
3126,가: 내일 배구 경기가 있는데 같이 보러 갈래?,나: 미안. 난 운동 경기를 관람하는 걸 별로 안 좋아해.,,,,,,,,,,,,,,,
3127,가: 변을 못 본지 오래됐어요.,나: 채소와 과일을 많이 먹으면 변비에 도움이 돼요.,,,,,,,,,,,,,,,
3128,가: 왜 직장까지 그만두고 부모님을 간호하겠다는 거예요?,나: 병든 부모님을 다른 사람에게 맡길 수가 없어서요.,,,,,,,,,,,,,,,
3129,가: 오늘 어떤 사람이 돈을 잘 버는 직업이 좋은 직업이라고 해서 좀 놀랐어.,나: 난 그 사람 생각이 병들었다고 봐.,,,,,,,,,,,,,,,
3130,가: 나는 술을 많이 마시고 나면 다음 날 두통이 심해져. 넌?,나: 난 종일 복통 때문에 고생해.,,,,,,,,,,,,,,,
3131,가: 그 사람이 진짜 범인이 아니면 어떻게 하지?,나: 그럼 정말 복통을 할 일인데.,,,,,,,,,,,,,,,
3132,가: 여행은 잘 다녀왔어? 어땠어?,나: 여기저기 볼거리가 다양해서 정말 좋았어.,,,,,,,,,,,,,,,
3133,가: 취미가 뭐예요?,"나: 제 취미는 골프, 야구, 볼링 등 운동을 하는 것입니다.",,,,,,,,,,,,,,,
3134,가: 김 사장님은 정말 엄청난 부자구나.,나: 자기가 번 게 아니고 부모로부터 막대한 유산을 물려받은 거야.,,,,,,,,,,,,,,,
3135,가: 저기 모자를 쓰고 계신 중년 부인은 누구신가요?,나: 우리 회사 사장님의 사모님이십니다.,,,,,,,,,,,,,,,
3136,"가: 승규 아버님, 주말마다 승규랑 같이 나가시는 걸 보니 부자 사이가 정말 좋으신가 봐요.",나: 네. 주말에는 시간을 같이 보내면서 이야기를 좀 나누려고 노력하고 있어요.,,,,,,,,,,,,,,,
3137,가: 무조건 돈이 많다고 해서 행복한 것은 아닌 것 같아.,"나: 맞아, 부자들도 불행을 느낄 때가 있을 거야.",,,,,,,,,,,,,,,
3138,가: 주식을 하다가 결국 그 사람은 파산했어.,나: 그의 끝임 없는 욕심이 불행을 초래한 거야.,,,,,,,,,,,,,,,
3139,가: 왜 이렇게 눈이 부었어?,나: 어젯밤에 슬픈 영화를 보고 울었더니 눈이 부어 버렸어.,,,,,,,,,,,,,,,
3140,가: 승규가 오늘 왜 이렇게 잔뜩 부어 있어?,나: 나에 대한 불만이 쌓였나 봐.,,,,,,,,,,,,,,,
3141,가: 왜 이렇게 야채만 사 왔어? 고기도 좀 사 오지.,나: 오늘 민준이를 데리고 병원에 갔는데 글쎄 비만이라지 뭐야.,,,,,,,,,,,,,,,
3142,가: 동생이 말을 타다가 떨어져서 허리를 삔 후로 말타기를 무서워 해.,나: 큰일 날 뻔했구나. 나도 말에서 떨어질 뻔한 적이 있어.,,,,,,,,,,,,,,,
3143,가: 딸만 셋이라 아들이 없는 게 아쉽겠어요.,나: 사위들이 아들 노릇을 하니 괜찮답니다.,,,,,,,,,,,,,,,
3144,가: 주말에 뭐했어?,나: 유학 갔던 사촌 형도 오랜만에 볼 겸해서 이모 댁에 갔다 왔어.,,,,,,,,,,,,,,,
3145,"가: 엄마, 꽃은 무엇을 먹고 살아요?",나: 사림이 밥을 먹는 것처럼 꽃은 물을 먹고 살아간단다.,,,,,,,,,,,,,,,
3146,"가: 아, 앞으로 어떻게 살아가야 할지 정말 막막하다.",나: 왜 그래? 무슨 일 있어?,,,,,,,,,,,,,,,
3147,가: 어제 태풍이 불었는데 선원들은 다 괜찮나요?,나: 네. 배는 좀 망가졌어도 상한 사람은 한 명도 없으니 걱정 마세요.,,,,,,,,,,,,,,,
3148,가: 아버님 얼굴이 많이 상하셨어요.,나: 올 여름이 너무 더워서 그런가.,,,,,,,,,,,,,,,
3149,가: 이 골판지 정말 안 잘린다.,나: 그렇게 딱딱한 걸 자르면 가위 날이 상해.,,,,,,,,,,,,,,,
3150,"가: 엄마, 반찬에서 쉰 냄새가 나요.",나: 그래? 상한 것 같으면 먹지 마. 버려야겠다.,,,,,,,,,,,,,,,
3151,가: 아무리 그래도 전 잘못이 없어요.,나: 네가 이렇게 고집을 부리고 내 말을 안 듣는 것을 보니 내가 정말 속이 상한다.,,,,,,,,,,,,,,,
3152,"가: 새엄마, 내일 학교에 학부모 상담하러 오시래요.","나: 그래, 알겠다.",,,,,,,,,,,,,,,
3153,가: 지난번에 다녀가신 뒤에는 대변을 잘 보시나요?,나: 아니요. 약을 먹었더니 오히려 설사가 심해졌어요.,,,,,,,,,,,,,,,
3154,가: 이번 발표 주제는 무엇이죠?,나: 우리 전공 영역이 앞으로 나아가야 할 성공적 방향입니다.,,,,,,,,,,,,,,,
3155,가: 어린 시절에 대해 말씀해 보세요.,나: 제 성장 과정은 다음과 같습니다.,,,,,,,,,,,,,,,
3156,가: 어떻게 주인공이 고난을 극복하고 성장을 할 수 있었을까요?,나: 항상 긍정적인 마음으로 밝은 미래를 꿈꾸었기 때문입니다.,,,,,,,,,,,,,,,
3157,가: 저 상표가 눈에 많이 띄네.,나: 저 회사가 요즘 엄청난 성장 속도를 보이고 있어.,,,,,,,,,,,,,,,
3158,"가: 여보, 오늘 전 늦게까지 야근해야 할 것 같아요. 퇴근하면 바로 아기 젖병 소독 좀 해 줄래요?",나: 알겠어요. 젖병 모두 분리해서 닦고 끓는 물에 삶으면 되는 거지요?,,,,,,,,,,,,,,,
3159,"가: 엄마, 물에서 소독약 냄새도 나고 소독약 맛도 나요.",나: 그럴 리가 없는데. 그럼 엄마가 물을 끓여 놓을게.,,,,,,,,,,,,,,,
3160,가: 저 아이는 항상 할머니랑 학교에 가네.,나: 저 아이 부모님이 일이 바빠서 할머니께서 손자를 돌봐 주시는 거래.,,,,,,,,,,,,,,,
3161,"가: 지수야, 발표는 잘 준비되고 있니?",나: 지금 발표 주제와 관련된 자료 수집을 하고 있어요.,,,,,,,,,,,,,,,
3162,가: 너 목소리가 왜 그래? 목이 많이 쉬었나 봐.,나: 응. 어제 무리를 했더니 몸에 힘도 없고 목도 아파.,,,,,,,,,,,,,,,
3163,가: 시아버지와 시어머니는 어디 가셨니?,"나: 네, 두 분이서 제주도로 여행을 가셨어요.",,,,,,,,,,,,,,,
3164,가: 큰딸이 좋은 집안에 시집가서 좋으시겠어요.,"나: 네, 앞으로 잘 살아야 할 텐데.",,,,,,,,,,,,,,,
